market_id,condition_id,event_id,question,category,tags,outcomes,outcome_prices,clob_token_ids,yes_token_id,yes_price_current,start_date,end_date,close_date,active,closed,archived,resolved_outcome,volume,liquidity,volume_clob,uma_resolution_status,uma_resolution_statuses,resolved_by,resolution_source,enable_order_book,slug,description,is_binary,has_yes_token,Y_i,broad_domain,broad_family,exclude_source_quality,source_quality_reason,in_price_panel,universe
516861,0xd8b9ff369452daebce1ac8cb6a29d6817903e85168356c72812317f38e317613,16096,"Will Bitcoin reach $1,000,000 by December 31, 2025?",,[],['Yes' 'No'],[0. 1.],"['112540911653160777059655478391259433595972605218365763034134019729862917878641'
 '72957845969259179114974336105989648762775384471357386872640167050913336248574']",112540911653160777059655478391259433595972605218365763034134019729862917878641,0.0,2024-12-30 22:00:50.534000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:20:31+00:00,True,True,False,No,31394607.518008,,31394607.518008,resolved,['proposed'],0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,,True,will-bitcoin-reach-1000000-by-december-31-2025,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTCUSDT) between December 30, 2024, 20:00 and December 31, 2025, 23:59 in the ET timezone has a final ""High"" price of $1,000,000 or higher. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the BTCUSDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTCUSDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,True,0,crypto,crypto_btc,False,,True,universe_a_crypto_diversified
512250,0xd6c186dd4a5167684c27462d0bb541bd22ca4861298c00ade1991c6240364762,14199,Will Trump create Bitcoin reserve in first 100 days?,,[],['Yes' 'No'],[0. 1.],"['102876909107184446484962995174710572858190376964139447948263895643413242660677'
 '15260030474401637547988724347750124574588252581599474544130642926166584463581']",102876909107184446484962995174710572858190376964139447948263895643413242660677,0.0,2024-11-06 23:18:43.892000+00:00,2025-04-29 12:00:00+00:00,2025-04-30 06:00:51+00:00,True,True,False,No,23324353.367396,,23324353.367396,resolved,['proposed' 'disputed' 'proposed'],0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,,True,will-trump-create-a-national-bitcoin-reserve-in-his-first-100-days,"This market will resolve to ""Yes"" if the US government holds any amount of Bitcoin in its reserves at any point between January 20, 2025, ET and  April 29, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

Note that the US government confiscating Bitcoin does not count as holding Bitcoin reserves.

The primary resolution source for this market will be official information from the US government and/or the US federal reserve, however a consensus of credible reporting will also be used.",True,True,0,crypto,crypto_policy,False,,True,universe_a_crypto_diversified
516863,0x4e2887e913cd6e091c9b07b5e4013b24f372453efa6f11a0b0c5f65371729cf4,16096,"Will Bitcoin reach $200,000 by December 31, 2025?",,[],['Yes' 'No'],[0. 1.],"['85949163243245471221790979452091560100141884930227668573477517865165344048388'
 '36921569939440488689507126893181296483417102090221899052515362361275875175227']",85949163243245471221790979452091560100141884930227668573477517865165344048388,0.0,2024-12-30 22:01:26.810000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:16:21+00:00,True,True,False,No,19275707.736605,,19275707.736605,resolved,['proposed'],0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,,True,will-bitcoin-reach-200000-by-december-31-2025,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTCUSDT) between December 30, 2024, 20:00 and December 31, 2025, 23:59 in the ET timezone has a final ""High"" price of $200,000 or higher. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the BTCUSDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTCUSDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,True,0,crypto,crypto_btc,False,,True,universe_a_crypto_diversified
516878,0xeeb92ddd77d671d1f9ea1f5727208d1fa91896a6d1f657fdcd7c9d578fe5c46c,16097,"Will Ethereum hit $5,000 by December 31?",,[],['Yes' 'No'],[0. 1.],"['96638575418189284731461006608299472691495172793493062289677934142140726427384'
 '101047384638948889500274126169139867032724036159322634390400440566762028472215']",96638575418189284731461006608299472691495172793493062289677934142140726427384,0.0,2024-12-30 22:07:47.006000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:18:23+00:00,True,True,False,No,18467737.400303,,18467737.400303,resolved,['proposed'],0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,,True,will-ethereum-hit-5000-by-december-31-796-376,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Ethereum (ETHUSDT) between December 30, 2024, 21:00 and December 31, 2025, 23:59 in the ET timezone has a final ""High"" price of $5,000.00 or higher. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the ETHUSDT ""High"" prices available at https://www.binance.com/en/trade/ETH_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance ETHUSDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,True,0,crypto,crypto_eth,False,,True,universe_a_crypto_diversified
516926,0x19ee98e348c0ccb341d1b9566fa14521566e9b2ea7aed34dc407a0ec56be36a2,16167,MicroStrategy sells any Bitcoin in 2025?,,[],['Yes' 'No'],[0. 1.],"['93592949212798121127213117304912625505836768562433217537850469496310204567695'
 '3074539347152748632858978545166555332546941892131779352477699494423276162345']",93592949212798121127213117304912625505836768562433217537850469496310204567695,0.0,2024-12-31 18:51:34.648000+00:00,2025-12-31 12:00:00+00:00,2026-01-05 04:22:25+00:00,True,True,False,No,17976157.529867,,17976157.529867,resolved,['proposed' 'disputed' 'proposed' 'disputed'],0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,,True,microstrategy-sell-any-bitcoin-in-2025,"This market will resolve to ""Yes"" if MicroStrategy sells any of its Bitcoin by December 31, 2025, 11:59 PM ET. Otherwise, this market will resolve to ""No"".

The primary resolution source for this market will be information from MSTR and on-chain data, however a consensus of credible reporting will also be used.",True,True,0,crypto,crypto_microstrategy,False,,True,universe_a_crypto_diversified
516864,0x9aa6086535a4b3145e9f7378dd58a7a8c30c4b15bd4fe17eb6990817f5cd3cd9,16096,"Will Bitcoin reach $150,000 by December 31, 2025?",,[],['Yes' 'No'],[0. 1.],"['87484108660213248881541352117231933897620313251765619093583161767567942237143'
 '66227603050358363252823995280330068010453773135951949905956744267279138003735']",87484108660213248881541352117231933897620313251765619093583161767567942237143,0.0,2024-12-30 22:01:36.925000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:20:27+00:00,True,True,False,No,16414060.383217,,16414060.383217,resolved,['proposed'],0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,,True,will-bitcoin-reach-150000-by-december-31-2025-188,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTCUSDT) between December 30, 2024, 20:00 and December 31, 2025, 23:59 in the ET timezone has a final ""High"" price of $150,000 or higher. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the BTCUSDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTCUSDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,True,0,crypto,crypto_btc,False,,True,universe_a_crypto_diversified
516862,0xac2be3a5471b343d43b9f0d3f141611b91feb8c66aed8e286cd3d2540714aaba,16096,"Will Bitcoin reach $250,000 by December 31, 2025?",,[],['Yes' 'No'],[0. 1.],"['15600657178409553723631854347165934450743544837722869853285023214749561849304'
 '95832722052369159414941134432483791330342476703761512967217344447414576372729']",15600657178409553723631854347165934450743544837722869853285023214749561849304,0.0,2024-12-30 22:01:06.714000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:20:29+00:00,True,True,False,No,15857522.578687,,15857522.578687,resolved,['proposed'],0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,,True,will-bitcoin-reach-250000-by-december-31-2025,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTCUSDT) between December 30, 2024, 20:00 and December 31, 2025, 23:59 in the ET timezone has a final ""High"" price of $250,000 or higher. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the BTCUSDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTCUSDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,True,0,crypto,crypto_btc,False,,True,universe_a_crypto_diversified
618949,0x25e73d2f118e87fc15df7cf736172737f0b82b7ec6ca6a24cd67ae341ed760fb,52525,Will Bitcoin reach $200k in October?,,[],['Yes' 'No'],[0. 1.],"['70224002415726915146697406828863644162763565870559027191380082229342088681891'
 '70675888591821022661888822332310350865640025923189889375444789233897528725031']",70224002415726915146697406828863644162763565870559027191380082229342088681891,0.0,2025-10-01 08:11:39.277700+00:00,2025-11-01 04:00:00+00:00,2025-11-01 06:06:20+00:00,True,True,False,No,15617197.1584,,15617197.1584,resolved,['proposed'],0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,True,will-bitcoin-reach-200k-in-october,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTC/USDT) during the month specified in the title (from 00:00 AM ET on the first day to 11:59 PM ET on the last), has a final ""High"" price equal to or greater than the price specified in the title. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the BTC/USDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTC/USDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,True,0,crypto,crypto_btc,False,,True,universe_a_crypto_diversified
659233,0xdc58d566cbbe1514a13d07692463a16ae0024fa20811a1bb8f48228884895355,70054,"Will Bitcoin reach $200,000 in November?",,[],['Yes' 'No'],[0. 1.],"['38294895519413927088355469115656141108867406062135002528725170063610435926164'
 '70163233609644821170202098600566865581563283724883163020103912006298109779958']",38294895519413927088355469115656141108867406062135002528725170063610435926164,0.0,2025-11-01 01:11:26.067959+00:00,2025-12-01 05:00:00+00:00,2025-12-01 07:22:48+00:00,True,True,False,No,13588620.834388,,13588620.834388,resolved,['proposed'],0x65070BE91477460D8A7AeEb94ef92fe056C2f2A7,,True,will-bitcoin-reach-200k-in-november-2025,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for BTC/USDT during the month specified in the title (from 00:00 AM ET on the first day to 11:59 PM ET on the last), has a final High price equal to or greater than the price specified in the title. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the BTC/USDT High prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTC/USDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,True,0,crypto,crypto_btc,False,,True,universe_a_crypto_diversified
516865,0xe84b1fdc087f4153ebf15cfc07f065dd5a66f3caf370b4547ea8e02100be95be,16096,"Will Bitcoin reach $130,000 by December 31, 2025?",,[],['Yes' 'No'],[0. 1.],"['70455106433105725093003807079135685186309776081399075740142938507518314484366'
 '11800304361754383189551729117933216661503938872257140403668204817034252452180']",70455106433105725093003807079135685186309776081399075740142938507518314484366,0.0,2024-12-30 22:02:05.386000+00:00,2025-12-31 12:00:00+00:00,2026-01-01 07:19:25+00:00,True,True,False,No,13211425.234841,,13211425.234841,resolved,['proposed'],0x6A9D222616C90FcA5754cd1333cFD9b7fb6a4F74,,True,will-bitcoin-reach-130000-by-december-31-2025-911-832,"This market will immediately resolve to ""Yes"" if any Binance 1 minute candle for Bitcoin (BTCUSDT) between December 30, 2024, 20:00 and December 31, 2025, 23:59 in the ET timezone has a final ""High"" price of $130,000 or higher. Otherwise, this market will resolve to ""No.""

The resolution source for this market is Binance, specifically the BTCUSDT ""High"" prices available at https://www.binance.com/en/trade/BTC_USDT, with the chart settings on ""1m"" for one-minute candles selected on the top bar.

Please note that the outcome of this market depends solely on the price data from the Binance BTCUSDT trading pair. Prices from other exchanges, different trading pairs, or spot markets will not be considered for the resolution of this market.",True,True,0,crypto,crypto_btc,False,,True,universe_a_crypto_diversified
